time,ax,ay,az,gx,gy,gz
1595877718,0.2382,-0.9150,0.1859,-0.3049,-0.4268,-0.3659
1595877718,0.2427,-0.9233,0.1884,-0.2439,-0.7317,-0.3049
1595877718,0.2432,-0.9219,0.1906,-0.1220,-0.9146,0.0000
1595877718,0.2446,-0.9222,0.1888,-0.1829,-0.7317,0.1220
1595877718,0.2470,-0.9247,0.1887,-0.2439,-0.6707,0.1829
1595877718,0.2488,-0.9257,0.1855,-0.0610,-0.6707,0.1829
1595877718,0.2511,-0.9256,0.1814,-0.1220,-0.9146,0.1220
1595877718,0.2542,-0.9265,0.1825,-0.1220,-1.1585,-0.1220
1595877718,0.2536,-0.9256,0.1832,0.0610,-1.3415,-0.1829
1595877718,0.2535,-0.9232,0.1851,0.1220,-1.2195,-0.3659
1595877718,0.2499,-0.9240,0.1851,0.0000,-1.0366,-0.5488
1595877718,0.2485,-0.9229,0.1866,-0.1220,-0.9756,-0.6098
1595877718,0.2491,-0.9208,0.1859,-0.0610,-0.9146,-0.7317
1595877718,0.2450,-0.9250,0.1842,-0.0610,-0.8537,-0.7317
1595877718,0.2419,-0.9263,0.1858,0.0000,-0.7317,-0.5488
1595877718,0.2430,-0.9231,0.1857,0.1220,-0.8537,-0.3659
1595877718,0.2410,-0.9225,0.1847,0.1220,-1.0976,-0.3049
1595877718,0.2407,-0.9194,0.1870,0.0610,-1.2195,-0.3049
1595877718,0.2430,-0.9185,0.1857,0.0000,-1.4024,-0.4268
1595877718,0.2430,-0.9184,0.1826,0.1220,-1.5244,-0.3659
1595877718,0.2420,-0.9210,0.1839,0.0000,-1.5854,-0.3049
1595877718,0.2412,-0.9230,0.1865,0.0000,-1.7073,-0.3049
1595877718,0.2432,-0.9227,0.1865,0.0610,-1.7683,-0.3049
1595877718,0.2455,-0.9231,0.1848,-0.0610,-1.6463,-0.1220
1595877718,0.2472,-0.9232,0.1871,-0.1220,-1.7073,0.0000
1595877718,0.2500,-0.9229,0.1862,-0.1829,-1.7683,0.0610
1595877718,0.2498,-0.9216,0.1866,-0.1220,-1.8293,0.1829
1595877718,0.2504,-0.9238,0.1895,-0.2439,-2.0122,0.1829
1595877718,0.2544,-0.9213,0.1854,-0.1829,-2.1951,0.1220
1595877718,0.2542,-0.9236,0.1835,0.0610,-2.1341,0.0610
1595877718,0.2496,-0.9255,0.1859,0.0000,-1.8293,0.0000
1595877718,0.2489,-0.9237,0.1867,-0.1220,-1.7073,-0.1220
1595877718,0.2501,-0.9219,0.1870,-0.1220,-1.6463,-0.2439
1595877718,0.2479,-0.9232,0.1866,-0.0610,-1.5854,-0.2439
1595877718,0.2468,-0.9227,0.1855,-0.1829,-1.3415,-0.2439
1595877718,0.2452,-0.9207,0.1859,-0.0610,-1.2805,-0.1829
1595877718,0.2459,-0.9210,0.1856,0.0000,-1.2195,-0.1829
1595877718,0.2459,-0.9196,0.1855,-0.1829,-1.2805,-0.2439
1595877718,0.2453,-0.9206,0.1857,-0.1220,-1.1585,-0.1829
1595877718,0.2462,-0.9218,0.1856,-0.0610,-1.0976,-0.1829
1595877718,0.2460,-0.9216,0.1866,-0.2439,-1.2195,-0.1829
1595877718,0.2448,-0.9227,0.1857,-0.3049,-1.3415,-0.1829
1595877718,0.2479,-0.9219,0.1883,-0.3049,-1.4634,-0.1220
1595877718,0.2484,-0.9230,0.1869,-0.4268,-1.4024,-0.1220
1595877718,0.2518,-0.9229,0.1874,-0.3659,-1.4024,-0.1220
1595877718,0.2521,-0.9222,0.1866,-0.4268,-1.3415,-0.1220
1595877718,0.2513,-0.9225,0.1836,-0.4878,-1.3415,-0.0610
1595877718,0.2521,-0.9229,0.1869,-0.4268,-1.2805,0.0000
1595877718,0.2518,-0.9209,0.1866,-0.4268,-1.2805,-0.0610
1595877718,0.2529,-0.9258,0.1874,-0.4268,-1.3415,-0.0610
1595877718,0.2568,-0.9235,0.1905,-0.3659,-1.4634,0.0000
1595877718,0.2557,-0.9238,0.1893,-0.1829,-1.3415,-0.0610
1595877718,0.2542,-0.9243,0.1884,-0.2439,-1.0366,-0.1220
1595877718,0.2526,-0.9247,0.1880,-0.1220,-0.8537,-0.1220
1595877718,0.2527,-0.9227,0.1870,-0.0610,-0.9756,-0.2439
1595877719,0.2519,-0.9221,0.1907,0.0000,-0.9146,-0.3659
1595877719,0.2478,-0.9186,0.1901,-0.0610,-0.7927,-0.4268
1595877719,0.2498,-0.9180,0.1866,-0.0610,-0.6098,-0.4878
