time,ax,ay,az,gx,gy,gz
1595877718,0.3298,0.9114,0.3210,0.1829,-0.8537,-0.1220
1595877718,0.3310,0.9185,0.3208,0.0610,-0.7317,0.1220
1595877718,0.3273,0.9166,0.3181,0.0610,-0.5488,0.1220
1595877718,0.3263,0.9187,0.3167,0.1220,-0.3659,0.1220
1595877718,0.3267,0.9200,0.3168,0.1220,-0.2439,0.0610
1595877718,0.3250,0.9208,0.3160,0.1829,-0.3049,0.0000
1595877718,0.3267,0.9217,0.3167,0.1220,-0.4878,-0.1220
1595877718,0.3292,0.9233,0.3198,0.0610,-0.6098,-0.0610
1595877718,0.3267,0.9224,0.3163,0.1220,-0.4268,-0.3049
1595877718,0.3270,0.9187,0.3143,0.2439,-0.3659,-0.3049
1595877718,0.3244,0.9185,0.3142,0.2439,-0.3659,-0.1220
1595877718,0.3247,0.9203,0.3149,0.1829,-0.3659,0.0000
1595877718,0.3242,0.9211,0.3164,0.1829,-0.4878,0.1220
1595877718,0.3249,0.9175,0.3171,0.0610,-0.6707,0.0000
1595877718,0.3244,0.9152,0.3176,0.1829,-0.7317,0.0610
1595877718,0.3236,0.9144,0.3161,0.1829,-0.6707,-0.0610
1595877718,0.3254,0.9163,0.3175,0.3049,-0.6707,-0.1829
1595877718,0.3261,0.9151,0.3188,0.3049,-0.7317,-0.3049
1595877718,0.3281,0.9178,0.3163,0.3659,-0.5488,-0.4268
1595877718,0.3306,0.9175,0.3162,0.4878,-0.4878,-0.4268
1595877718,0.3312,0.9169,0.3152,0.4878,-0.4878,-0.4878
1595877718,0.3315,0.9174,0.3163,0.4878,-0.6098,-0.4878
1595877719,0.3328,0.9166,0.3170,0.4878,-0.6098,-0.3049
1595877719,0.3313,0.9186,0.3171,0.6098,-0.4268,-0.2439
1595877719,0.3304,0.9186,0.3185,0.4878,-0.3659,-0.0610
1595877719,0.3276,0.9185,0.3179,0.5488,-0.3049,0.0610
1595877719,0.3261,0.9197,0.3165,0.6098,-0.1220,0.0610
1595877719,0.3271,0.9190,0.3168,0.6098,-0.0610,0.0610
1595877719,0.3237,0.9216,0.3161,0.6098,-0.1220,0.0000
1595877719,0.3248,0.9219,0.3174,0.5488,-0.2439,0.0000
1595877719,0.3235,0.9191,0.3164,0.4878,-0.3659,-0.0610
1595877719,0.3246,0.9197,0.3169,0.5488,-0.3659,-0.1829
1595877719,0.3289,0.9202,0.3199,0.4878,-0.5488,-0.3049
1595877719,0.3300,0.9199,0.3170,0.5488,-0.2439,-0.2439
1595877719,0.3301,0.9194,0.3148,0.5488,-0.0610,-0.1829
1595877719,0.3289,0.9195,0.3151,0.3659,-0.1829,-0.2439
1595877719,0.3280,0.9183,0.3170,0.3659,-0.3049,-0.1829
1595877719,0.3257,0.9236,0.3148,0.2439,-0.4268,-0.3659
1595877719,0.3264,0.9208,0.3129,0.3049,-0.6707,-0.3659
1595877719,0.3282,0.9146,0.3185,0.2439,-1.2195,-0.1829
1595877719,0.3280,0.9163,0.3185,0.1220,-1.2805,-0.1829
1595877719,0.3311,0.9161,0.3174,0.0610,-1.3415,-0.1829
1595877719,0.3317,0.9173,0.3195,0.0000,-1.3415,-0.4268
1595877719,0.3362,0.9152,0.3190,0.0610,-1.2805,-0.3049
1595877719,0.3364,0.9143,0.3188,0.1220,-0.9756,-0.3049
1595877719,0.3369,0.9166,0.3182,0.1829,-0.8537,-0.2439
1595877719,0.3427,0.9188,0.3071,0.1829,-0.1829,-0.1829
1595877719,0.3317,0.9172,0.3292,-0.0610,0.9756,-0.6707
1595877719,0.3384,0.9235,0.2974,-0.1829,-1.3415,-0.7927
1595877719,0.3401,0.9283,0.3018,0.2439,-1.5244,-0.9756
1595877719,0.3103,0.9221,0.2994,0.7317,-1.1585,-0.5488
1595877719,0.2968,0.9410,0.2986,1.0976,-1.4024,-0.3659
1595877719,0.2811,0.9435,0.3029,0.9146,-2.5610,-1.2195
1595877719,0.2786,0.9338,0.3120,0.3049,-5.4878,-2.0122
1595877719,0.2528,0.9162,0.3135,-2.3171,-16.0366,-4.6951
1595877719,0.1001,0.9352,0.3030,-1.2805,-36.8902,-11.5854
1595877719,0.0834,0.9348,0.2932,-1.8293,-46.5244,-15.5488
1595877719,0.1003,0.9402,0.3090,-2.0122,-58.8415,-19.6341
1595877719,0.1181,0.9694,0.3616,-3.1098,-69.9390,-24.1463
1595877719,-0.1494,1.0286,0.5037,-18.5976,-85.4878,-44.8171
1595877719,-0.1272,1.0449,0.4547,-22.2561,-108.4146,-48.9024
1595877719,-0.0193,1.0035,0.4961,-35.7927,-174.5732,-55.6707
1595877719,0.0335,0.9973,0.6217,-41.5854,-189.4512,-64.2683
1595877719,0.0502,1.0348,0.8699,-50.2439,-180.8537,-75.3049
1595877719,0.0703,1.0609,1.1236,-58.8415,-159.3902,-79.8781
1595877719,0.1378,1.1224,1.1937,-64.3902,-151.6463,-80.1829
1595877719,0.2341,1.1777,1.2797,-71.4024,-147.5000,-78.7805
1595877719,0.1688,1.2112,1.4087,-99.6951,-110.3659,-72.9268
1595877719,0.2680,1.3773,1.1844,-152.3781,-138.9634,-75.4268
1595877719,0.3432,1.4155,1.1490,-166.4024,-151.5854,-73.5976
1595877720,0.3762,1.4149,1.0487,-191.1585,-168.1707,-65.6098
1595877720,0.4182,1.4098,0.9961,-201.8902,-178.2317,-57.6220
1595877720,0.4405,1.4756,0.6929,-224.7561,-220.3659,-26.8902
1595877720,0.4427,1.4750,0.6564,-230.4878,-235.7927,-15.4268
1595877720,0.5314,1.2748,0.2387,-233.9634,-301.0976,33.0488
1595877720,0.5101,1.2325,0.1681,-229.2073,-311.7073,45.3049
1595877720,0.5187,1.1990,0.1363,-223.1707,-323.4756,58.1098
1595877720,0.6349,0.7310,-0.0840,-97.1951,-172.3781,128.4756
1595877720,0.5518,0.5667,-0.2477,-74.4512,-144.0854,129.8781
1595877720,0.5937,0.4634,-0.2970,-63.7805,-134.6342,129.0244
1595877720,0.6027,0.2957,-0.3628,1.2195,-82.4390,105.1829
1595877720,0.6417,0.2203,-0.4288,7.8049,-84.1463,101.8902
1595877720,0.7896,0.2748,-0.5180,53.9024,-72.3781,67.4390
1595877720,0.7676,0.2543,-0.5228,63.9634,-63.9024,62.9878
1595877720,0.7577,0.2220,-0.5897,76.3415,-56.7683,56.4024
1595877720,0.8006,0.2295,-0.6437,82.0732,-60.0000,53.1098
1595877720,0.8350,0.2590,-0.6925,88.9024,-65.6098,49.2073
1595877720,0.8913,0.2912,-0.7137,97.0122,-74.2683,44.1463
1595877720,0.9651,0.3170,-0.6859,105.8537,-83.5366,38.5366
1595877720,0.9976,0.3838,-0.5640,126.8293,-85.4878,30.0000
1595877720,0.9557,0.4183,-0.5372,136.8293,-77.1951,27.5610
1595877720,0.9315,0.4412,-0.5809,145.7317,-68.2317,26.0976
1595877720,0.9609,0.4392,-0.6523,153.7805,-64.2073,25.3659
1595877720,0.9973,0.5627,-0.5187,200.8537,-47.9878,19.9390
1595877720,0.9242,0.6102,-0.5777,205.3049,-45.0000,22.1341
1595877720,1.0018,0.7220,-0.5525,222.7439,-41.8293,21.4634
1595877720,0.9666,0.7063,-0.3704,246.8902,-54.0854,24.6951
1595877720,0.8998,0.6787,-0.5381,244.4512,-83.5366,31.2805
1595877720,0.8928,0.8197,-0.6553,246.5244,-97.3781,20.8537
1595877720,0.9705,0.8213,-0.6843,249.6342,-96.8293,11.8293
1595877720,0.9207,0.6683,-0.4100,261.9512,-59.3293,-4.2683
1595877720,1.0382,0.7279,-0.4296,255.8537,-70.8537,-8.8415
1595877720,1.1713,0.8068,-0.3264,261.0976,-69.6951,-18.9024
1595877720,1.2858,0.6661,0.2524,296.6464,7.1341,-29.4512
1595877720,1.0411,0.6350,-0.2869,271.6464,16.0366,-6.0976
1595877720,1.1260,0.7076,-0.1981,275.5488,-2.9268,-3.2927
1595877720,1.2846,0.5563,0.1252,286.3415,-61.0366,31.5854
1595877720,1.4255,0.5248,0.1504,283.4756,-79.5732,41.7073
1595877720,1.2264,0.8558,0.5092,280.9756,-89.9390,47.4390
1595877720,1.4530,1.0209,-0.8182,143.9634,-405.0000,64.7561
1595877720,1.9999,-1.9999,-1.9999,-107.6829,-462.9268,5.0000
1595877720,1.9766,-0.6874,0.9976,-222.6220,-283.4756,169.4512
1595877720,1.9711,0.1646,1.2032,198.6585,-85.4878,23.3537
1595877720,1.4089,0.4879,0.1249,13.1098,52.0732,6.7073
1595877720,-0.7679,0.2344,-0.9558,98.4146,229.2073,0.4878
1595877720,0.6894,-0.4230,-0.5999,52.6220,90.0000,-58.4756
1595877720,1.0917,-0.3361,-0.6024,42.1951,-44.1463,-17.0122
1595877720,1.3098,-0.7329,-0.2186,42.7439,-56.4024,60.0610
1595877720,1.0189,-0.5678,-0.1630,30.9756,-15.4878,48.7805
1595877720,1.0424,-0.3714,-0.0945,38.7195,15.2439,36.2195
1595877720,1.0136,-0.4125,-0.1179,39.6951,26.7683,20.2439
1595877720,0.7369,-0.4060,-0.1057,24.1463,37.7439,13.8415
1595877720,0.8030,-0.3675,-0.0834,22.6829,29.0244,12.5610
1595877720,0.8617,-0.3554,-0.0845,18.6585,19.1463,9.7561
1595877720,0.9880,-0.3577,-0.2076,9.6951,6.9512,13.5366
1595877720,0.9907,-0.3742,-0.2021,10.7927,6.7073,12.9878
1595877720,0.9639,-0.3771,-0.1871,10.8537,8.1707,12.4390
1595877720,0.9206,-0.3734,-0.1759,10.9756,10.1220,13.5366
1595877721,0.8051,-0.3298,-0.1541,8.9024,9.8171,16.7683
1595877721,0.8277,-0.3324,-0.1606,5.3659,6.9512,17.5000
1595877721,0.8716,-0.3632,-0.1337,3.4756,1.5854,17.1341
1595877721,0.9215,-0.4034,-0.1205,4.0854,-2.1951,18.1707
1595877721,0.9774,-0.4080,-0.1215,6.0366,-5.4268,18.1098
