time,ax,ay,az,gx,gy,gz
1595879405,0.3002,0.9202,0.3066,0.5488,0.3049,-0.4268
1595879405,0.2991,0.9295,0.3086,0.7317,0.5488,-0.5488
1595879405,0.3007,0.9295,0.3057,0.9756,0.7927,-0.7317
1595879405,0.3002,0.9287,0.3057,0.9756,0.9756,-0.7927
1595879405,0.2991,0.9291,0.3086,1.0366,0.9146,-0.9146
1595879405,0.2994,0.9279,0.3079,1.0366,0.6707,-0.9756
1595879405,0.3015,0.9278,0.3093,0.9756,0.4268,-0.7927
1595879405,0.3001,0.9299,0.3106,0.9756,0.2439,-0.8537
1595879405,0.2994,0.9295,0.3094,0.9756,0.1220,-0.8537
1595879405,0.3027,0.9298,0.3071,0.9146,0.0000,-0.8537
1595879405,0.3039,0.9307,0.3088,1.0366,-0.0610,-0.8537
1595879405,0.3057,0.9337,0.3111,0.9756,-0.1220,-0.7927
1595879405,0.3022,0.9299,0.3090,0.8537,0.0610,-0.8537
1595879405,0.3003,0.9307,0.3097,0.8537,0.3049,-0.8537
1595879405,0.3021,0.9331,0.3099,0.8537,0.3659,-0.9146
1595879405,0.3029,0.9296,0.3063,0.9146,0.3049,-0.9756
1595879405,0.3027,0.9279,0.3078,1.0366,0.2439,-0.9146
1595879405,0.3027,0.9273,0.3080,1.0976,0.3659,-0.8537
1595879405,0.3033,0.9276,0.3109,1.0976,0.4268,-0.8537
1595879405,0.3051,0.9297,0.3110,1.1585,0.6098,-0.7927
1595879405,0.3062,0.9318,0.3121,1.2195,0.7927,-0.7317
1595879405,0.3056,0.9328,0.3113,1.2195,0.9146,-0.7927
1595879405,0.3047,0.9337,0.3102,1.1585,1.1585,-0.7927
1595879405,0.3024,0.9340,0.3090,1.0976,1.1585,-0.8537
1595879405,0.3020,0.9363,0.3112,1.1585,1.2195,-0.7927
1595879405,0.3019,0.9319,0.3112,0.9756,1.1585,-0.6098
1595879405,0.3027,0.9299,0.3130,0.9756,1.0366,-0.4878
1595879405,0.3022,0.9310,0.3124,0.9756,0.8537,-0.4878
1595879405,0.3016,0.9298,0.3110,0.9146,0.7317,-0.2439
1595879405,0.3024,0.9299,0.3112,0.9146,0.6707,-0.1829
1595879405,0.3011,0.9305,0.3167,1.0366,0.8537,0.0000
1595879405,0.2983,0.9296,0.3151,0.9146,1.0366,0.0000
1595879405,0.2988,0.9315,0.3146,0.8537,1.1585,0.0610
1595879405,0.2967,0.9293,0.3129,0.7317,1.2805,0.0000
1595879405,0.2974,0.9276,0.3127,0.6098,1.1585,-0.1220
1595879405,0.2964,0.9308,0.3141,0.5488,0.9756,-0.1829
1595879405,0.2968,0.9305,0.3120,0.5488,0.8537,-0.3049
1595879405,0.2969,0.9302,0.3118,0.4268,0.9146,-0.3049
1595879405,0.2975,0.9311,0.3113,0.3659,1.0366,-0.3659
1595879405,0.2994,0.9315,0.3104,0.4268,0.9146,-0.3659
1595879405,0.3001,0.9316,0.3101,0.3659,0.9756,-0.3049
1595879405,0.3035,0.9309,0.3103,0.3659,1.2195,-0.3049
1595879405,0.3021,0.9313,0.3140,0.4878,1.4634,-0.2439
1595879405,0.2990,0.9325,0.3148,0.6098,2.0122,-0.3659
1595879405,0.2969,0.9310,0.3124,0.7317,2.4390,-0.4268
1595879405,0.2963,0.9296,0.3074,0.7927,2.3780,-0.3049
1595879405,0.2941,0.9288,0.3053,0.6098,2.0732,-0.1829
1595879405,0.2947,0.9337,0.3049,0.4878,1.7073,-0.1829
1595879405,0.2977,0.9377,0.3062,0.3049,1.2195,-0.2439
1595879405,0.2990,0.9347,0.3090,0.1220,0.9756,-0.3049
1595879405,0.3013,0.9326,0.3121,0.0610,0.9146,-0.4878
1595879405,0.3039,0.9318,0.3163,0.3049,1.0366,-0.5488
1595879405,0.3027,0.9294,0.3129,0.4878,1.4024,-0.6098
1595879405,0.3025,0.9275,0.3117,0.6707,1.8902,-0.4268
1595879405,0.3002,0.9318,0.3105,0.7927,2.2561,-0.4268
1595879405,0.2984,0.9320,0.3076,0.8537,2.3780,-0.3659
1595879405,0.2967,0.9315,0.3077,0.7927,2.3171,-0.3659
1595879405,0.2947,0.9315,0.3123,0.6098,1.8293,-0.3049
1595879405,0.2934,0.9316,0.3112,0.3659,1.0976,-0.3049
1595879405,0.2982,0.9318,0.3122,0.0000,0.4878,-0.1220
1595879405,0.3003,0.9307,0.3131,-0.0610,0.0610,0.0610
1595879405,0.3011,0.9272,0.3117,-0.0610,-0.0610,0.0610
1595879405,0.2974,0.9268,0.3121,-0.1829,0.0000,0.0610
1595879405,0.2945,0.9305,0.3139,-0.1220,0.3659,0.1220
1595879405,0.2968,0.9297,0.3135,-0.0610,0.7317,0.1220
1595879405,0.2957,0.9289,0.3139,-0.1220,0.7927,0.0610
1595879405,0.2950,0.9288,0.3090,-0.1220,0.8537,0.0610
1595879405,0.2935,0.9270,0.3060,-0.0610,0.9146,-0.1220
1595879405,0.2961,0.9294,0.3069,0.0000,0.8537,-0.2439
1595879405,0.2987,0.9306,0.3071,0.0000,0.6707,-0.3049
1595879405,0.2985,0.9312,0.3087,-0.1220,0.6707,-0.4268
1595879405,0.3010,0.9327,0.3132,-0.0610,0.7927,-0.3659
1595879405,0.2998,0.9317,0.3112,0.0610,0.9146,-0.3659
1595879405,0.3005,0.9292,0.3102,0.1220,1.2195,-0.4878
1595879405,0.3000,0.9299,0.3094,0.1220,1.4634,-0.4268
1595879405,0.3000,0.9279,0.3110,0.3659,1.5854,-0.3659
1595879405,0.3007,0.9291,0.3120,0.3659,1.7073,-0.3659
1595879405,0.3019,0.9286,0.3109,0.4878,1.8293,-0.2439
1595879405,0.2983,0.9308,0.3104,0.6098,1.7683,-0.1829
1595879405,0.2977,0.9279,0.3106,0.4878,1.4634,-0.1829
1595879405,0.2982,0.9283,0.3097,0.4268,1.0366,-0.1220
1595879405,0.3000,0.9283,0.3116,0.4268,0.7927,0.0000
1595879405,0.3007,0.9286,0.3123,0.1829,0.3049,0.0610
1595879405,0.3017,0.9307,0.3124,0.1829,0.0610,0.0610
1595879405,0.3016,0.9300,0.3141,0.3049,0.1220,0.1829
1595879405,0.3026,0.9295,0.3151,0.3049,0.4268,0.1829
1595879405,0.3016,0.9273,0.3147,0.2439,0.4878,0.2439
1595879405,0.3007,0.9297,0.3156,0.3049,0.6098,0.2439
1595879405,0.2979,0.9297,0.3177,0.3659,0.6098,0.3049
1595879405,0.2964,0.9277,0.3166,0.3659,0.6098,0.1829
1595879405,0.2974,0.9299,0.3166,0.3049,0.5488,0.1220
