time,ax,ay,az,gx,gy,gz
1595878848,0.2993,0.9165,0.3230,1.2195,-0.6098,-1.1585
1595878848,0.3019,0.9260,0.3259,1.2805,-0.0610,-0.8537
1595878848,0.2969,0.9271,0.3245,1.3415,0.3049,-0.7317
1595878848,0.2939,0.9260,0.3245,1.2805,0.1829,-0.7317
1595878848,0.2957,0.9243,0.3289,1.3415,-0.4268,-0.6098
1595878848,0.2977,0.9237,0.3310,1.1585,-1.0976,-0.5488
1595878848,0.2980,0.9248,0.3332,1.0976,-1.4024,-0.4268
1595878848,0.3019,0.9225,0.3353,1.2195,-1.4634,-0.4268
1595878848,0.3032,0.9208,0.3356,1.4634,-1.2805,-0.4878
1595878848,0.3029,0.9196,0.3342,1.5244,-0.9146,-0.6098
1595878848,0.3017,0.9197,0.3357,1.5854,-0.4268,-0.6707
1595878848,0.2987,0.9213,0.3351,1.6463,0.1220,-0.6098
1595878848,0.2995,0.9222,0.3329,1.4634,0.6707,-0.6098
1595878848,0.2989,0.9218,0.3342,1.5244,0.9756,-0.4268
1595878848,0.2946,0.9233,0.3344,1.4634,0.8537,-0.3049
1595878848,0.2952,0.9212,0.3340,1.2195,0.3049,-0.2439
1595878848,0.2954,0.9224,0.3357,1.0366,-0.2439,-0.1829
1595878848,0.2949,0.9204,0.3381,0.8537,-0.7317,-0.1220
1595878848,0.2976,0.9208,0.3368,0.7317,-0.9756,0.0000
1595878848,0.2993,0.9246,0.3366,0.5488,-1.2195,-0.0610
1595878848,0.2994,0.9246,0.3390,0.4878,-1.2195,-0.0610
1595878848,0.3007,0.9246,0.3354,0.4878,-0.9756,-0.1220
1595878848,0.2996,0.9274,0.3390,0.4268,-0.7317,-0.1220
1595878848,0.2955,0.9274,0.3390,0.3659,-0.4878,-0.2439
1595878848,0.2949,0.9274,0.3364,0.3659,-0.2439,-0.3049
1595878848,0.2929,0.9269,0.3334,0.3659,-0.2439,-0.3049
1595878848,0.2906,0.9241,0.3281,0.3659,-0.5488,-0.0610
1595878848,0.2914,0.9247,0.3263,0.2439,-1.0976,0.0610
1595878848,0.2915,0.9225,0.3260,0.0610,-1.5854,0.1829
1595878848,0.2929,0.9216,0.3263,-0.0610,-1.8293,0.1829
1595878848,0.2952,0.9244,0.3304,-0.0610,-1.7683,0.0000
1595878848,0.2979,0.9243,0.3297,-0.0610,-1.5244,-0.1829
1595878848,0.2991,0.9213,0.3304,0.1220,-1.1585,-0.2439
1595878848,0.2981,0.9202,0.3314,0.3659,-0.8537,-0.3659
1595878848,0.2999,0.9215,0.3281,0.4268,-0.3659,-0.5488
1595878848,0.2975,0.9244,0.3269,0.5488,0.0000,-0.6707
1595878848,0.2965,0.9249,0.3264,0.6098,0.1829,-0.7317
1595878848,0.2971,0.9241,0.3275,0.5488,0.0000,-0.6098
1595878848,0.2957,0.9238,0.3267,0.3049,-0.4268,-0.4878
1595878848,0.2948,0.9235,0.3255,0.1220,-0.9146,-0.3049
1595878848,0.2990,0.9255,0.3254,0.0000,-1.4024,-0.3049
1595878848,0.2993,0.9290,0.3229,0.0000,-1.7683,-0.1829
1595878848,0.3007,0.9290,0.3257,0.0610,-1.7683,-0.1829
1595878848,0.2980,0.9262,0.3267,0.2439,-1.4634,-0.2439
1595878848,0.2965,0.9263,0.3279,0.3659,-0.9756,-0.1829
1595878848,0.2961,0.9230,0.3294,0.5488,-0.6707,-0.1829
1595878848,0.2944,0.9227,0.3278,0.7317,-0.4268,-0.2439
1595878848,0.2940,0.9195,0.3272,0.9146,-0.2439,-0.3659
1595878848,0.2957,0.9218,0.3307,0.9146,-0.1829,-0.4268
1595878848,0.2978,0.9255,0.3284,0.7927,-0.1829,-0.4878
1595878848,0.2958,0.9252,0.3306,0.8537,-0.3049,-0.5488
1595878849,0.2960,0.9246,0.3304,0.7927,-0.3659,-0.5488
1595878849,0.2985,0.9238,0.3306,0.7927,-0.3659,-0.6098
1595878849,0.3011,0.9244,0.3334,0.7317,-0.6707,-0.6707
1595878849,0.2993,0.9217,0.3358,0.4878,-0.7317,-0.6707
1595878849,0.2997,0.9189,0.3351,0.6098,-0.6707,-0.6098
1595878849,0.2991,0.9205,0.3331,0.5488,-0.6707,-0.6098
1595878849,0.3003,0.9209,0.3344,0.5488,-0.6707,-0.4878
1595878849,0.3011,0.9193,0.3338,0.5488,-0.7927,-0.4878
1595878849,0.3007,0.9194,0.3338,0.3659,-0.9146,-0.4878
1595878849,0.3010,0.9192,0.3345,0.3049,-0.9146,-0.4878
1595878849,0.3017,0.9216,0.3321,0.2439,-0.8537,-0.4268
1595878849,0.3036,0.9227,0.3306,0.1829,-0.9756,-0.3659
1595878849,0.3059,0.9231,0.3289,0.0000,-0.9756,-0.2439
1595878849,0.3062,0.9239,0.3278,0.0000,-0.8537,-0.1829
1595878849,0.3038,0.9247,0.3288,0.0000,-0.6707,-0.2439
1595878849,0.3048,0.9228,0.3292,0.0000,-0.4268,-0.1829
1595878849,0.3030,0.9225,0.3287,0.1220,-0.3049,-0.1829
1595878849,0.3029,0.9225,0.3295,0.2439,-0.2439,-0.1829
1595878849,0.3020,0.9225,0.3291,0.3049,0.0000,-0.1829
1595878849,0.3044,0.9230,0.3293,0.3049,0.0610,-0.1220
1595878849,0.3031,0.9250,0.3287,0.2439,0.0000,-0.1220
1595878849,0.3000,0.9239,0.3292,0.2439,0.0000,0.0000
1595878849,0.3027,0.9214,0.3261,0.2439,-0.2439,0.0000
1595878849,0.3019,0.9211,0.3282,0.1220,-0.3049,0.0610
1595878849,0.3022,0.9204,0.3288,0.1220,-0.3049,0.1829
1595878849,0.2995,0.9201,0.3292,0.1220,-0.3659,0.2439
1595878849,0.2986,0.9209,0.3297,0.1829,-0.1220,0.1220
