time,ax,ay,az,gx,gy,gz
1595879211,0.2031,-0.9091,0.2619,-0.3049,-0.1829,0.0610
1595879211,0.2040,-0.9136,0.2652,-0.3049,-0.3659,-0.1220
1595879211,0.2028,-0.9129,0.2582,-0.3049,-0.4268,-0.1220
1595879211,0.2070,-0.9159,0.2560,-0.3659,-0.4268,-0.1220
1595879211,0.2053,-0.9153,0.2600,-0.2439,-0.3049,-0.3049
1595879211,0.2031,-0.9128,0.2610,-0.2439,0.0610,-0.3049
1595879211,0.2009,-0.9107,0.2605,-0.4268,0.3049,-0.3049
1595879211,0.2014,-0.9111,0.2574,-0.3049,0.3659,-0.3659
1595879211,0.1991,-0.9100,0.2568,-0.2439,0.1829,-0.3049
1595879211,0.1986,-0.9081,0.2555,-0.3659,0.1829,-0.3049
1595879211,0.2007,-0.9120,0.2537,-0.4878,0.0610,-0.1829
1595879211,0.2065,-0.9150,0.2554,-0.3659,-0.1220,-0.1220
1595879211,0.2089,-0.9185,0.2553,-0.4268,-0.0610,0.0000
1595879211,0.2054,-0.9177,0.2614,-0.5488,0.3659,0.0000
1595879211,0.2042,-0.9142,0.2631,-0.7317,0.8537,0.0000
1595879211,0.2037,-0.9144,0.2614,-0.6707,0.9756,-0.1220
1595879211,0.1997,-0.9120,0.2568,-0.5488,0.8537,-0.3049
1595879211,0.1977,-0.9102,0.2532,-0.5488,0.7317,-0.4268
1595879211,0.1957,-0.9103,0.2562,-0.3659,0.5488,-0.6707
1595879211,0.1942,-0.9125,0.2606,-0.3659,0.4878,-0.7317
1595879211,0.1951,-0.9113,0.2607,-0.3049,0.4268,-0.5488
1595879211,0.1981,-0.9128,0.2574,-0.3049,0.3659,-0.2439
1595879211,0.2012,-0.9142,0.2615,-0.3659,0.4878,-0.1220
1595879211,0.2013,-0.9141,0.2610,-0.4878,0.6707,-0.0610
1595879211,0.2034,-0.9141,0.2586,-0.5488,0.8537,0.0610
1595879211,0.2020,-0.9155,0.2590,-0.5488,0.9756,0.0610
1595879211,0.2020,-0.9153,0.2557,-0.3659,0.7927,-0.1220
1595879211,0.2048,-0.9163,0.2569,-0.3049,0.5488,-0.1829
1595879211,0.2039,-0.9163,0.2582,-0.1829,0.4878,-0.3659
1595879211,0.2041,-0.9153,0.2603,-0.0610,0.4268,-0.4268
1595879211,0.2021,-0.9149,0.2559,-0.0610,0.5488,-0.4268
1595879211,0.1984,-0.9156,0.2567,-0.1829,0.7927,-0.5488
1595879211,0.1976,-0.9155,0.2587,-0.1829,1.0366,-0.5488
1595879211,0.1967,-0.9132,0.2562,-0.3049,1.1585,-0.4878
1595879211,0.1921,-0.9125,0.2583,-0.3659,1.2805,-0.4268
1595879211,0.1931,-0.9122,0.2556,-0.4878,1.0976,-0.3049
1595879211,0.1945,-0.9105,0.2579,-0.3659,0.8537,-0.3659
1595879211,0.1962,-0.9109,0.2586,-0.4268,0.6707,-0.2439
1595879211,0.1957,-0.9121,0.2563,-0.6707,0.6707,-0.2439
1595879211,0.1979,-0.9138,0.2558,-0.6098,0.7317,-0.2439
1595879211,0.1973,-0.9147,0.2565,-0.6098,0.7317,-0.0610
1595879211,0.1971,-0.9166,0.2593,-0.7927,0.9146,-0.0610
1595879211,0.1995,-0.9182,0.2587,-0.7317,0.9146,0.0000
1595879211,0.2026,-0.9193,0.2590,-0.8537,1.0976,0.0000
1595879212,0.2041,-0.9178,0.2591,-0.7317,1.1585,-0.0610
1595879212,0.2037,-0.9187,0.2613,-0.7317,1.4634,0.0000
1595879212,0.2048,-0.9199,0.2620,-0.6707,2.0122,0.0000
1595879212,0.2057,-0.9225,0.2635,-0.6707,2.3780,0.0000
1595879212,0.2048,-0.9213,0.2630,-0.6707,2.4390,0.0000
1595879212,0.2036,-0.9186,0.2672,-0.8537,2.6220,-0.1220
1595879212,0.2010,-0.9162,0.2671,-0.8537,2.8049,-0.1829
1595879212,0.2015,-0.9116,0.2629,-0.8537,2.6829,-0.1829
